CountyName,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020,25-07-2020,26-07-2020,27-07-2020,28-07-2020,29-07-2020,30-07-2020,31-07-2020,01-08-2020,02-08-2020,03-08-2020,04-08-2020,05-08-2020
Carlow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,6,12,12,12,15,16,19,22,32,38,44,53,59,59,69,71,78,79,80,84,86,88,91,92,93,95,95,100,100,126,127,127,132,132,133,136,139,141,141,143,143,144,144,146,147,148,149,150,151,151,152,152,152,152,154,155,158,166,166,166,166,169,169,168,168,168,167,168,168,168,168,171,171,171,171,171,173,173,174,174,175,175,175,175,175,175,175,175,350,175,175,175,175,175,175,175,175,176,176,176,176,176,176,177,178,178,178,178,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,180,180,181,185,185
Cavan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,6,9,11,19,24,31,36,39,41,67,76,115,123,129,132,151,169,210,222,245,254,310,345,353,386,401,403,430,466,506,536,574,609,627,634,634,644,656,673,682,694,709,710,730,748,752,753,757,765,767,774,776,781,788,800,802,804,804,815,824,825,827,829,833,833,833,834,839,844,844,846,854,858,858,858,858,858,858,859,860,860,860,859,859,860,860,860,862,862,861,861,862,862,862,862,862,862,1724,862,864,864,864,864,864,865,865,865,866,865,865,865,866,866,867,867,867,867,867,867,867,867,867,867,867,868,868,870,870,876,876,876,878,878,878,880,881,881
Clare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,12,25,26,31,34,34,40,45,49,50,54,54,60,65,66,68,69,85,88,98,106,113,119,136,151,153,160,164,165,187,206,207,209,212,229,232,232,236,237,240,245,249,254,281,299,303,303,305,306,308,308,312,314,314,315,315,315,315,319,319,321,322,322,322,322,322,323,323,360,368,369,369,369,368,368,368,368,368,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,736,368,368,368,368,368,368,368,368,368,369,369,369,369,369,369,369,369,369,369,369,369,369,369,372,372,372,380,380,391,391,391,391,399,399,399,401,401,403,403
Cork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,123,133,154,171,184,208,217,238,255,272,292,304,343,362,421,431,472,503,581,648,730,780,829,916,945,979,1028,1047,1053,1077,1087,1096,1103,1110,1125,1126,1136,1146,1154,1156,1164,1175,1177,1192,1197,1199,1205,1207,1232,1234,1238,1249,1256,1346,1352,1361,1372,1376,1386,1398,1420,1428,1438,1440,1451,1458,1464,1472,1477,1514,1517,1517,1521,1527,1528,1529,1529,1529,1531,1532,1533,1533,1533,1533,1533,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1536,1536,3072,1540,1540,1541,1543,1542,1543,1545,1545,1545,1545,1546,1548,1550,1550,1554,1555,1557,1557,1557,1560,1561,1560,1560,1562,1562,1563,1563,1563,1566,1567,1567,1567,1569,1570,1572,1575,1575,1582,1582
Donegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,11,12,15,15,24,36,46,63,68,77,80,81,103,114,120,125,145,167,188,225,264,296,320,352,369,376,383,392,416,431,440,437,446,452,453,454,456,458,459,461,465,466,467,469,469,469,469,472,474,472,473,473,474,475,475,477,477,479,478,478,478,478,478,478,477,477,477,477,477,477,477,477,472,472,471,471,471,470,470,469,470,470,470,470,470,470,470,464,464,464,464,464,464,464,464,464,464,465,930,465,465,465,466,466,466,467,468,468,468,468,468,468,469,471,471,472,472,472,472,472,472,472,472,472,472,473,473,473,474,474,476,476,476,481,482,486,487,492
Dublin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471,535,659,774,922,1070,1233,1393,1487,1645,1838,2077,2251,2490,2692,3061,3268,3557,3873,4156,4514,5006,5438,5850,6337,6567,6934,7379,7666,7781,7905,8216,8729,9010,9224,9532,9624,9751,9967,10170,10277,10406,10561,10670,10734,10840,10885,10948,11068,11175,11235,11242,11308,11557,11557,11666,11693,11759,11733,11765,11794,11830,11873,11876,11894,11961,11996,12023,12031,12042,12052,12090,12093,12109,12118,12127,12139,12158,12159,12163,12167,12172,12179,12210,12213,12228,12235,12239,12248,12257,12263,12267,12238,12218,12218,12226,12226,12226,12245,12250,24508,12262,12264,12270,12270,12255,12263,12266,12275,12287,12294,12308,12312,12326,12331,12342,12367,12379,12385,12390,12411,12422,12424,12439,12450,12459,12464,12480,12487,12505,12520,12524,12549,12551,12559,12564,12569,12574,12601,12617
Galway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,35,40,45,57,63,68,77,86,88,91,98,105,108,112,128,134,134,160,169,178,197,220,237,260,266,273,283,294,294,309,315,331,332,332,335,332,351,355,355,357,365,365,369,375,380,381,382,388,392,400,402,405,408,412,418,432,438,445,445,451,455,458,461,461,464,473,476,476,478,480,482,482,481,481,481,481,481,483,483,485,485,485,486,486,486,486,485,485,485,485,485,485,485,485,485,485,485,485,485,970,486,486,486,486,486,487,487,486,490,489,489,489,489,489,489,489,491,492,492,492,492,492,493,493,493,493,495,495,495,495,498,498,498,498,498,499,499,500,500
Kerry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,33,38,44,47,53,60,66,68,72,79,84,85,89,117,122,125,145,155,170,200,219,226,246,254,256,262,268,268,268,271,271,276,277,288,288,292,292,293,294,295,298,301,302,302,303,303,303,303,305,305,305,306,307,307,307,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,309,310,310,310,310,310,310,310,310,310,310,310,620,310,310,310,310,311,310,310,310,311,311,311,314,316,316,316,316,316,316,316,316,316,316,316,317,317,317,317,317,317,317,317,317,318,318,318,318,318,318,318
Kildare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,25,34,39,45,56,61,64,66,80,90,103,136,152,175,200,233,253,290,332,360,404,443,509,567,621,684,763,817,822,851,875,954,1003,1028,1127,1147,1162,1193,1215,1226,1242,1268,1280,1289,1302,1312,1317,1324,1331,1337,1344,1348,1352,1357,1361,1367,1379,1379,1381,1383,1387,1392,1390,1395,1408,1414,1416,1416,1416,1417,1419,1419,1419,1419,1423,1423,1423,1424,1424,1426,1426,1426,1432,1434,1434,1435,1436,1439,1439,1443,1443,1467,1476,1477,1478,1478,1478,1481,1487,2976,1491,1492,1494,1497,1498,1499,1500,1503,1506,1513,1513,1514,1517,1517,1517,1518,1521,1523,1524,1525,1526,1529,1532,1534,1535,1538,1541,1543,1572,1589,1597,1603,1618,1651,1661,1680,1715,1825,1845
Kilkenny,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,16,19,20,29,33,36,36,37,37,47,54,73,75,79,88,90,96,115,124,136,144,164,173,179,188,197,206,210,216,222,227,229,230,233,233,236,242,250,254,258,259,258,259,265,265,271,277,280,284,291,292,293,295,298,300,302,307,307,316,319,334,334,334,336,337,337,337,338,338,338,339,339,340,344,344,345,345,345,346,346,346,348,348,348,350,350,351,353,354,354,353,354,354,354,354,354,355,355,710,355,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,357,357,357,357,357,357,357,357,357,358,359,359
Laois,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,9,9,10,11,14,14,15,16,16,16,21,22,25,31,34,37,49,61,71,88,101,118,133,139,147,168,170,177,185,192,202,204,205,205,212,216,218,224,230,234,237,238,240,243,242,247,247,248,249,249,249,251,251,253,253,254,254,256,256,256,256,256,257,258,258,258,258,259,259,259,260,260,260,261,262,262,262,262,262,262,264,264,264,264,264,264,264,264,264,265,265,265,265,265,265,265,265,265,530,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,266,267,267,267,267,268,268,268,271,273,282,283,286,305,313,314,314,322,326,327,339
Leitrim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,6,6,10,12,12,13,13,14,18,20,23,25,31,32,32,36,40,43,46,46,47,49,54,55,56,62,62,64,66,67,67,68,68,68,67,70,70,70,70,66,66,66,74,74,75,77,77,79,79,79,80,82,82,82,82,82,82,82,82,83,83,83,83,83,83,83,83,83,84,84,84,84,84,84,84,84,84,84,84,84,84,84,78,78,78,78,78,78,78,78,78,78,79,160,80,82,82,82,82,82,82,82,82,82,82,82,82,82,82,83,83,83,83,83,83,83,83,83,83,83,84,84,84,84,84,84,85,85,85,85,85,85,85
Limerick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,19,19,24,36,46,55,64,67,87,94,96,116,128,140,143,160,173,186,222,234,252,265,285,307,343,382,384,401,409,415,420,439,441,442,457,518,532,535,548,564,580,583,585,591,574,566,570,572,582,588,588,591,595,596,601,602,603,610,612,615,615,616,619,622,624,626,627,628,629,594,581,582,582,582,582,582,583,583,583,583,583,584,584,584,585,584,583,583,583,583,583,583,583,583,583,583,583,583,583,1166,586,586,587,587,587,587,588,589,589,589,589,589,589,589,589,589,589,589,589,590,591,591,591,591,591,591,591,592,599,600,609,609,610,610,613,616,619,620,620
Longford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,5,5,10,10,10,12,14,16,17,17,21,25,35,36,41,45,49,56,58,69,77,79,83,88,91,94,101,102,102,113,124,129,135,145,146,149,150,153,213,235,257,259,260,264,264,267,269,270,272,273,273,277,279,279,279,280,280,280,280,281,281,281,281,280,281,283,283,283,283,284,284,284,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,286,286,572,286,286,286,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288
Louth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,18,20,24,27,34,39,44,51,52,54,55,64,65,85,96,106,116,133,143,195,208,236,350,384,406,405,437,469,489,506,536,590,597,627,640,652,655,659,667,673,679,685,693,699,703,715,721,730,733,735,734,740,741,739,740,743,745,748,751,756,756,759,759,759,759,759,763,766,768,776,775,776,777,777,777,776,778,778,778,778,778,778,778,778,778,778,778,779,780,780,780,780,780,780,780,780,781,781,1562,781,781,781,782,782,785,785,785,785,787,787,787,789,789,790,791,791,791,791,791,791,791,792,792,792,792,793,793,793,794,794,794,795,795,796,797,799,799,799
Mayo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,9,14,18,21,26,28,36,48,52,55,63,78,107,126,130,134,153,168,183,194,198,216,249,259,273,312,332,335,339,365,391,395,435,464,466,478,483,485,488,494,501,510,512,514,518,522,522,522,537,538,541,542,542,547,552,556,558,560,560,564,568,568,568,568,569,569,571,571,571,570,570,570,570,570,570,570,570,570,570,570,570,571,572,572,572,571,571,571,572,572,572,572,571,571,571,571,571,572,1144,572,572,572,572,572,572,572,573,573,573,573,573,573,573,573,573,574,574,574,574,574,575,575,575,576,576,576,576,576,576,583,583,583,583,583,583,583,584,584
Meath,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,24,27,33,41,46,47,54,66,74,88,93,106,141,168,183,198,206,230,249,289,342,369,405,421,461,500,513,522,539,550,568,578,613,626,638,661,671,681,687,699,713,717,722,723,727,754,758,760,769,769,770,773,776,778,780,782,787,788,790,795,797,797,797,797,793,793,795,797,796,800,801,802,804,805,806,804,804,804,804,805,805,805,805,805,806,806,806,806,807,807,807,808,808,808,808,808,808,808,1616,808,808,809,811,811,812,812,812,812,812,812,812,817,817,817,817,817,817,817,822,823,824,824,826,826,825,826,826,829,829,830,830,831,831,834,835,839,845,845
Monaghan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,5,8,11,12,13,13,17,18,20,23,52,58,62,63,69,81,88,95,123,147,161,166,170,174,187,199,220,249,318,327,350,373,385,388,393,399,403,409,423,429,432,441,443,447,447,449,454,458,464,467,468,480,480,485,485,488,489,489,501,501,503,503,504,504,507,509,509,512,512,521,527,528,528,530,531,531,534,534,534,535,535,536,536,536,536,536,536,536,536,536,537,537,537,537,538,538,1076,538,538,538,538,538,539,539,539,539,539,539,539,540,540,540,540,540,540,540,541,541,541,541,541,541,541,541,541,541,541,542,542,542,542,542,542,543,543,543
Offaly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,13,16,19,22,29,34,34,40,46,47,63,64,66,73,77,81,88,104,119,133,144,150,163,171,177,187,190,195,198,205,217,222,225,228,236,264,282,284,293,305,314,317,339,346,345,349,350,351,358,360,362,435,455,459,459,461,468,472,473,475,478,478,479,479,478,478,478,478,478,478,478,479,479,479,479,479,480,480,481,481,481,481,481,481,481,482,482,482,483,483,483,483,483,483,483,483,483,483,966,483,483,483,486,486,486,486,486,486,486,486,486,486,486,485,486,486,486,486,487,487,487,487,487,487,487,487,487,488,488,491,492,497,497,500,523,550,557,572
Roscommon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,5,7,8,10,10,10,10,10,13,13,15,18,22,22,22,26,27,31,39,48,50,57,61,74,76,91,91,91,92,111,114,116,135,141,148,150,151,160,174,174,181,212,221,228,234,235,247,297,298,298,299,300,301,304,307,308,310,312,314,318,319,319,319,320,320,321,333,333,335,336,337,337,337,337,337,338,338,340,341,341,342,342,342,343,344,344,344,344,344,345,345,345,345,345,345,345,345,690,345,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,347,347
Sligo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,10,12,19,19,22,25,26,27,28,28,28,28,28,31,39,45,45,52,62,66,69,70,76,78,93,97,98,105,104,104,114,117,116,116,116,118,117,119,120,121,122,116,116,116,123,127,128,128,128,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,128,128,128,128,128,128,128,128,128,128,129,129,129,129,125,125,125,125,125,125,125,125,125,128,138,282,141,141,141,145,146,146,146,147,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,149,149,149,149,149,149,149,150,151,153,153,153,153,153
Tipperary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,27,34,44,53,62,71,85,91,94,105,118,125,133,137,140,151,166,175,200,219,237,251,270,283,292,300,306,320,327,343,345,346,364,370,389,415,468,473,478,479,486,501,506,512,515,517,523,524,524,524,516,521,523,524,525,528,529,529,528,528,528,528,528,528,528,527,529,530,538,539,540,540,540,540,540,540,540,541,541,541,541,541,541,541,541,541,541,541,541,541,543,543,543,543,543,543,543,1086,543,542,542,542,542,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,544,544,544,544,544,545,545,545,545,545,545,546,546,546,547,546
Waterford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,15,22,25,29,31,34,33,37,38,43,43,46,49,49,52,56,60,63,67,73,81,90,101,102,110,112,113,117,119,122,122,129,135,137,138,137,137,138,138,139,140,139,139,140,140,143,143,143,143,144,144,144,144,146,147,147,148,148,148,149,151,151,151,151,151,152,152,152,153,153,152,152,154,154,154,154,154,154,154,154,154,154,154,154,154,155,155,155,155,155,155,156,156,156,156,156,157,157,316,158,158,158,158,158,160,160,165,165,165,165,165,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166
Westmeath,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,25,29,39,52,67,70,77,80,81,86,92,94,107,121,134,142,152,181,192,213,234,258,309,318,332,358,369,377,386,395,409,421,437,446,448,461,474,487,500,509,540,547,554,627,633,640,641,643,643,645,648,652,654,655,654,656,658,658,661,661,663,663,663,664,665,667,667,668,669,670,670,670,671,671,671,671,671,671,671,670,670,670,670,670,670,670,670,670,672,672,672,672,672,672,672,672,672,672,1344,673,674,674,674,674,674,676,676,676,676,676,676,676,676,676,677,677,677,676,676,677,677,677,677,677,677,678,679,680,680,680,680,681,681,681,681,682,682,682
Wexford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,7,8,9,10,12,12,15,15,16,18,20,21,21,22,24,26,30,39,43,52,56,61,71,76,85,98,100,114,137,137,143,151,156,162,162,162,167,179,183,185,185,184,184,190,190,194,199,202,202,206,208,208,211,212,212,212,217,217,217,217,217,217,217,216,216,216,216,216,216,213,213,213,213,214,214,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,217,217,217,217,217,217,434,217,217,217,218,218,218,218,218,218,221,221,221,221,222,223,223,223,223,223,223,223,223,223,223,223,223,223,223,224,224,224,224,224,224,235,237,243,244,244
Wicklow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,28,39,49,52,58,65,69,73,77,84,105,112,132,142,171,181,207,237,246,263,272,317,342,375,384,391,437,444,446,463,469,506,558,561,557,558,564,589,599,604,618,622,625,628,633,636,637,643,646,649,647,651,652,657,656,657,659,657,657,657,659,661,661,663,663,663,663,663,663,663,667,667,668,668,668,670,670,670,670,670,670,670,670,672,672,672,672,672,672,673,674,681,697,697,697,697,697,701,701,1402,699,699,699,699,699,698,699,700,702,705,707,708,709,709,709,710,710,710,710,711,712,712,712,712,713,713,713,713,712,712,712,712,712,712,713,713,715,716,716
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
