CountyName,TimeStamp,ConfirmedCovidCases
Carlow,2020-02-27,0
Cavan,2020-02-27,0
Clare,2020-02-27,0
Cork,2020-02-27,0
Donegal,2020-02-27,0
Dublin,2020-02-27,0
Galway,2020-02-27,0
Kerry,2020-02-27,0
Kildare,2020-02-27,0
Kilkenny,2020-02-27,0
Laois,2020-02-27,0
Leitrim,2020-02-27,0
Limerick,2020-02-27,0
Longford,2020-02-27,0
Louth,2020-02-27,0
Mayo,2020-02-27,0
Meath,2020-02-27,0
Monaghan,2020-02-27,0
Offaly,2020-02-27,0
Roscommon,2020-02-27,0
Sligo,2020-02-27,0
Tipperary,2020-02-27,0
Waterford,2020-02-27,0
Westmeath,2020-02-27,0
Wexford,2020-02-27,0
Wicklow,2020-02-27,0
Carlow,2020-03-01,0
Cavan,2020-03-01,0
Clare,2020-03-01,0
Cork,2020-03-01,0
Donegal,2020-03-01,0
Dublin,2020-03-01,0
Galway,2020-03-01,0
Kerry,2020-03-01,0
Kildare,2020-03-01,0
Kilkenny,2020-03-01,0
Laois,2020-03-01,0
Leitrim,2020-03-01,0
Limerick,2020-03-01,0
Longford,2020-03-01,0
Louth,2020-03-01,0
Mayo,2020-03-01,0
Meath,2020-03-01,0
Monaghan,2020-03-01,0
Offaly,2020-03-01,0
Roscommon,2020-03-01,0
Sligo,2020-03-01,0
Tipperary,2020-03-01,0
Waterford,2020-03-01,0
Westmeath,2020-03-01,0
Wexford,2020-03-01,0
Wicklow,2020-03-01,0
Carlow,2020-03-02,0
Cavan,2020-03-02,0
Clare,2020-03-02,0
Cork,2020-03-02,0
Donegal,2020-03-02,0
Dublin,2020-03-02,0
Galway,2020-03-02,0
Kerry,2020-03-02,0
Kildare,2020-03-02,0
Kilkenny,2020-03-02,0
Laois,2020-03-02,0
Leitrim,2020-03-02,0
Limerick,2020-03-02,0
Longford,2020-03-02,0
Louth,2020-03-02,0
Mayo,2020-03-02,0
Meath,2020-03-02,0
Monaghan,2020-03-02,0
Offaly,2020-03-02,0
Roscommon,2020-03-02,0
Sligo,2020-03-02,0
Tipperary,2020-03-02,0
Waterford,2020-03-02,0
Westmeath,2020-03-02,0
Wexford,2020-03-02,0
Wicklow,2020-03-02,0
Carlow,2020-03-03,0
Cavan,2020-03-03,0
Clare,2020-03-03,0
Cork,2020-03-03,0
Donegal,2020-03-03,0
Dublin,2020-03-03,0
Galway,2020-03-03,0
Kerry,2020-03-03,0
Kildare,2020-03-03,0
Kilkenny,2020-03-03,0
Laois,2020-03-03,0
Leitrim,2020-03-03,0
Limerick,2020-03-03,0
Longford,2020-03-03,0
Louth,2020-03-03,0
Mayo,2020-03-03,0
Meath,2020-03-03,0
Monaghan,2020-03-03,0
Offaly,2020-03-03,0
Roscommon,2020-03-03,0
Sligo,2020-03-03,0
Tipperary,2020-03-03,0
Waterford,2020-03-03,0
Westmeath,2020-03-03,0
Wexford,2020-03-03,0
Wicklow,2020-03-03,0
Carlow,2020-03-04,0
Cavan,2020-03-04,0
Clare,2020-03-04,0
Cork,2020-03-04,0
Donegal,2020-03-04,0
Dublin,2020-03-04,0
Galway,2020-03-04,0
Kerry,2020-03-04,0
Kildare,2020-03-04,0
Kilkenny,2020-03-04,0
Laois,2020-03-04,0
Leitrim,2020-03-04,0
Limerick,2020-03-04,0
Longford,2020-03-04,0
Louth,2020-03-04,0
Mayo,2020-03-04,0
Meath,2020-03-04,0
Monaghan,2020-03-04,0
Offaly,2020-03-04,0
Roscommon,2020-03-04,0
Sligo,2020-03-04,0
Tipperary,2020-03-04,0
Waterford,2020-03-04,0
Westmeath,2020-03-04,0
Wexford,2020-03-04,0
Wicklow,2020-03-04,0
Carlow,2020-03-05,0
Cavan,2020-03-05,0
Clare,2020-03-05,0
Cork,2020-03-05,0
Donegal,2020-03-05,0
Dublin,2020-03-05,0
Galway,2020-03-05,0
Kerry,2020-03-05,0
Kildare,2020-03-05,0
Kilkenny,2020-03-05,0
Laois,2020-03-05,0
Leitrim,2020-03-05,0
Limerick,2020-03-05,0
Longford,2020-03-05,0
Louth,2020-03-05,0
Mayo,2020-03-05,0
Meath,2020-03-05,0
Monaghan,2020-03-05,0
Offaly,2020-03-05,0
Roscommon,2020-03-05,0
Sligo,2020-03-05,0
Tipperary,2020-03-05,0
Waterford,2020-03-05,0
Westmeath,2020-03-05,0
Wexford,2020-03-05,0
Wicklow,2020-03-05,0
Carlow,2020-03-06,0
Cavan,2020-03-06,0
Clare,2020-03-06,0
Cork,2020-03-06,0
Donegal,2020-03-06,0
Dublin,2020-03-06,0
Galway,2020-03-06,0
Kerry,2020-03-06,0
Kildare,2020-03-06,0
Kilkenny,2020-03-06,0
Laois,2020-03-06,0
Leitrim,2020-03-06,0
Limerick,2020-03-06,0
Longford,2020-03-06,0
Louth,2020-03-06,0
Mayo,2020-03-06,0
Meath,2020-03-06,0
Monaghan,2020-03-06,0
Offaly,2020-03-06,0
Roscommon,2020-03-06,0
Sligo,2020-03-06,0
Tipperary,2020-03-06,0
Waterford,2020-03-06,0
Westmeath,2020-03-06,0
Wexford,2020-03-06,0
Wicklow,2020-03-06,0
Carlow,2020-03-07,0
Cavan,2020-03-07,0
Clare,2020-03-07,0
Cork,2020-03-07,0
Donegal,2020-03-07,0
Dublin,2020-03-07,0
Galway,2020-03-07,0
Kerry,2020-03-07,0
Kildare,2020-03-07,0
Kilkenny,2020-03-07,0
Laois,2020-03-07,0
Leitrim,2020-03-07,0
Limerick,2020-03-07,0
Longford,2020-03-07,0
Louth,2020-03-07,0
Mayo,2020-03-07,0
Meath,2020-03-07,0
Monaghan,2020-03-07,0
Offaly,2020-03-07,0
Roscommon,2020-03-07,0
Sligo,2020-03-07,0
Tipperary,2020-03-07,0
Waterford,2020-03-07,0
Westmeath,2020-03-07,0
Wexford,2020-03-07,0
Wicklow,2020-03-07,0
Carlow,2020-03-08,0
Cavan,2020-03-08,0
Clare,2020-03-08,0
Cork,2020-03-08,0
Donegal,2020-03-08,0
Dublin,2020-03-08,0
Galway,2020-03-08,0
Kerry,2020-03-08,0
Kildare,2020-03-08,0
Kilkenny,2020-03-08,0
Laois,2020-03-08,0
Leitrim,2020-03-08,0
Limerick,2020-03-08,0
Longford,2020-03-08,0
Louth,2020-03-08,0
Mayo,2020-03-08,0
Meath,2020-03-08,0
Monaghan,2020-03-08,0
Offaly,2020-03-08,0
Roscommon,2020-03-08,0
Sligo,2020-03-08,0
Tipperary,2020-03-08,0
Waterford,2020-03-08,0
Westmeath,2020-03-08,0
Wexford,2020-03-08,0
Wicklow,2020-03-08,0
Carlow,2020-03-09,0
Cavan,2020-03-09,0
Clare,2020-03-09,0
Cork,2020-03-09,0
Donegal,2020-03-09,0
Dublin,2020-03-09,0
Galway,2020-03-09,0
Kerry,2020-03-09,0
Kildare,2020-03-09,0
Kilkenny,2020-03-09,0
Laois,2020-03-09,0
Leitrim,2020-03-09,0
Limerick,2020-03-09,0
Longford,2020-03-09,0
Louth,2020-03-09,0
Mayo,2020-03-09,0
Meath,2020-03-09,0
Monaghan,2020-03-09,0
Offaly,2020-03-09,0
Roscommon,2020-03-09,0
Sligo,2020-03-09,0
Tipperary,2020-03-09,0
Waterford,2020-03-09,0
Westmeath,2020-03-09,0
Wexford,2020-03-09,0
Wicklow,2020-03-09,0
Carlow,2020-03-10,0
Cavan,2020-03-10,0
Clare,2020-03-10,0
Cork,2020-03-10,0
Donegal,2020-03-10,0
Dublin,2020-03-10,0
Galway,2020-03-10,0
Kerry,2020-03-10,0
Kildare,2020-03-10,0
Kilkenny,2020-03-10,0
Laois,2020-03-10,0
Leitrim,2020-03-10,0
Limerick,2020-03-10,0
Longford,2020-03-10,0
Louth,2020-03-10,0
Mayo,2020-03-10,0
Meath,2020-03-10,0
Monaghan,2020-03-10,0
Offaly,2020-03-10,0
Roscommon,2020-03-10,0
Sligo,2020-03-10,0
Tipperary,2020-03-10,0
Waterford,2020-03-10,0
Westmeath,2020-03-10,0
Wexford,2020-03-10,0
Wicklow,2020-03-10,0
Carlow,2020-03-11,0
Cavan,2020-03-11,0
Clare,2020-03-11,0
Cork,2020-03-11,0
Donegal,2020-03-11,0
Dublin,2020-03-11,0
Galway,2020-03-11,0
Kerry,2020-03-11,0
Kildare,2020-03-11,0
Kilkenny,2020-03-11,0
Laois,2020-03-11,0
Leitrim,2020-03-11,0
Limerick,2020-03-11,0
Longford,2020-03-11,0
Louth,2020-03-11,0
Mayo,2020-03-11,0
Meath,2020-03-11,0
Monaghan,2020-03-11,0
Offaly,2020-03-11,0
Roscommon,2020-03-11,0
Sligo,2020-03-11,0
Tipperary,2020-03-11,0
Waterford,2020-03-11,0
Westmeath,2020-03-11,0
Wexford,2020-03-11,0
Wicklow,2020-03-11,0
Carlow,2020-03-12,0
Cavan,2020-03-12,0
Clare,2020-03-12,0
Cork,2020-03-12,0
Donegal,2020-03-12,0
Dublin,2020-03-12,0
Galway,2020-03-12,0
Kerry,2020-03-12,0
Kildare,2020-03-12,0
Kilkenny,2020-03-12,0
Laois,2020-03-12,0
Leitrim,2020-03-12,0
Limerick,2020-03-12,0
Longford,2020-03-12,0
Louth,2020-03-12,0
Mayo,2020-03-12,0
Meath,2020-03-12,0
Monaghan,2020-03-12,0
Offaly,2020-03-12,0
Roscommon,2020-03-12,0
Sligo,2020-03-12,0
Tipperary,2020-03-12,0
Waterford,2020-03-12,0
Westmeath,2020-03-12,0
Wexford,2020-03-12,0
Wicklow,2020-03-12,0
Carlow,2020-03-13,0
Cavan,2020-03-13,0
Clare,2020-03-13,0
Cork,2020-03-13,0
Donegal,2020-03-13,0
Dublin,2020-03-13,0
Galway,2020-03-13,0
Kerry,2020-03-13,0
Kildare,2020-03-13,0
Kilkenny,2020-03-13,0
Laois,2020-03-13,0
Leitrim,2020-03-13,0
Limerick,2020-03-13,0
Longford,2020-03-13,0
Louth,2020-03-13,0
Mayo,2020-03-13,0
Meath,2020-03-13,0
Monaghan,2020-03-13,0
Offaly,2020-03-13,0
Roscommon,2020-03-13,0
Sligo,2020-03-13,0
Tipperary,2020-03-13,0
Waterford,2020-03-13,0
Westmeath,2020-03-13,0
Wexford,2020-03-13,0
Wicklow,2020-03-13,0
Carlow,2020-03-14,0
Cavan,2020-03-14,0
Clare,2020-03-14,0
Cork,2020-03-14,0
Donegal,2020-03-14,0
Dublin,2020-03-14,0
Galway,2020-03-14,0
Kerry,2020-03-14,0
Kildare,2020-03-14,0
Kilkenny,2020-03-14,0
Laois,2020-03-14,0
Leitrim,2020-03-14,0
Limerick,2020-03-14,0
Longford,2020-03-14,0
Louth,2020-03-14,0
Mayo,2020-03-14,0
Meath,2020-03-14,0
Monaghan,2020-03-14,0
Offaly,2020-03-14,0
Roscommon,2020-03-14,0
Sligo,2020-03-14,0
Tipperary,2020-03-14,0
Waterford,2020-03-14,0
Westmeath,2020-03-14,0
Wexford,2020-03-14,0
Wicklow,2020-03-14,0
Carlow,2020-03-15,0
Cavan,2020-03-15,0
Clare,2020-03-15,0
Cork,2020-03-15,0
Donegal,2020-03-15,0
Dublin,2020-03-15,0
Galway,2020-03-15,0
Kerry,2020-03-15,0
Kildare,2020-03-15,0
Kilkenny,2020-03-15,0
Laois,2020-03-15,0
Leitrim,2020-03-15,0
Limerick,2020-03-15,0
Longford,2020-03-15,0
Louth,2020-03-15,0
Mayo,2020-03-15,0
Meath,2020-03-15,0
Monaghan,2020-03-15,0
Offaly,2020-03-15,0
Roscommon,2020-03-15,0
Sligo,2020-03-15,0
Tipperary,2020-03-15,0
Waterford,2020-03-15,0
Westmeath,2020-03-15,0
Wexford,2020-03-15,0
Wicklow,2020-03-15,0
Carlow,2020-03-16,0
Cavan,2020-03-16,0
Clare,2020-03-16,0
Cork,2020-03-16,0
Donegal,2020-03-16,0
Dublin,2020-03-16,0
Galway,2020-03-16,0
Kerry,2020-03-16,0
Kildare,2020-03-16,0
Kilkenny,2020-03-16,0
Laois,2020-03-16,0
Leitrim,2020-03-16,0
Limerick,2020-03-16,0
Longford,2020-03-16,0
Louth,2020-03-16,0
Mayo,2020-03-16,0
Meath,2020-03-16,0
Monaghan,2020-03-16,0
Offaly,2020-03-16,0
Roscommon,2020-03-16,0
Sligo,2020-03-16,0
Tipperary,2020-03-16,0
Waterford,2020-03-16,0
Westmeath,2020-03-16,0
Wexford,2020-03-16,0
Wicklow,2020-03-16,0
Carlow,2020-03-17,0
Cavan,2020-03-17,0
Clare,2020-03-17,0
Cork,2020-03-17,0
Donegal,2020-03-17,0
Dublin,2020-03-17,0
Galway,2020-03-17,0
Kerry,2020-03-17,0
Kildare,2020-03-17,0
Kilkenny,2020-03-17,0
Laois,2020-03-17,0
Leitrim,2020-03-17,0
Limerick,2020-03-17,0
Longford,2020-03-17,0
Louth,2020-03-17,0
Mayo,2020-03-17,0
Meath,2020-03-17,0
Monaghan,2020-03-17,0
Offaly,2020-03-17,0
Roscommon,2020-03-17,0
Sligo,2020-03-17,0
Tipperary,2020-03-17,0
Waterford,2020-03-17,0
Westmeath,2020-03-17,0
Wexford,2020-03-17,0
Wicklow,2020-03-17,0
Carlow,2020-03-18,0
Cavan,2020-03-18,0
Clare,2020-03-18,0
Cork,2020-03-18,0
Donegal,2020-03-18,0
Dublin,2020-03-18,0
Galway,2020-03-18,0
Kerry,2020-03-18,0
Kildare,2020-03-18,0
Kilkenny,2020-03-18,0
Laois,2020-03-18,0
Leitrim,2020-03-18,0
Limerick,2020-03-18,0
Longford,2020-03-18,0
Louth,2020-03-18,0
Mayo,2020-03-18,0
Meath,2020-03-18,0
Monaghan,2020-03-18,0
Offaly,2020-03-18,0
Roscommon,2020-03-18,0
Sligo,2020-03-18,0
Tipperary,2020-03-18,0
Waterford,2020-03-18,0
Westmeath,2020-03-18,0
Wexford,2020-03-18,0
Wicklow,2020-03-18,0
Carlow,2020-03-19,0
Cavan,2020-03-19,0
Clare,2020-03-19,0
Cork,2020-03-19,0
Donegal,2020-03-19,0
Dublin,2020-03-19,0
Galway,2020-03-19,0
Kerry,2020-03-19,0
Kildare,2020-03-19,0
Kilkenny,2020-03-19,0
Laois,2020-03-19,0
Leitrim,2020-03-19,0
Limerick,2020-03-19,0
Longford,2020-03-19,0
Louth,2020-03-19,0
Mayo,2020-03-19,0
Meath,2020-03-19,0
Monaghan,2020-03-19,0
Offaly,2020-03-19,0
Roscommon,2020-03-19,0
Sligo,2020-03-19,0
Tipperary,2020-03-19,0
Waterford,2020-03-19,0
Westmeath,2020-03-19,0
Wexford,2020-03-19,0
Wicklow,2020-03-19,0
Carlow,2020-03-20,0
Cavan,2020-03-20,0
Clare,2020-03-20,0
Cork,2020-03-20,0
Donegal,2020-03-20,0
Dublin,2020-03-20,0
Galway,2020-03-20,0
Kerry,2020-03-20,0
Kildare,2020-03-20,0
Kilkenny,2020-03-20,0
Laois,2020-03-20,0
Leitrim,2020-03-20,0
Limerick,2020-03-20,0
Longford,2020-03-20,0
Louth,2020-03-20,0
Mayo,2020-03-20,0
Meath,2020-03-20,0
Monaghan,2020-03-20,0
Offaly,2020-03-20,0
Roscommon,2020-03-20,0
Sligo,2020-03-20,0
Tipperary,2020-03-20,0
Waterford,2020-03-20,0
Westmeath,2020-03-20,0
Wexford,2020-03-20,0
Wicklow,2020-03-20,0
Carlow,2020-03-21,3
Cavan,2020-03-21,3
Clare,2020-03-21,9
Cork,2020-03-21,104
Donegal,2020-03-21,8
Dublin,2020-03-21,471
Galway,2020-03-21,33
Kerry,2020-03-21,12
Kildare,2020-03-21,23
Kilkenny,2020-03-21,15
Laois,2020-03-21,6
Leitrim,2020-03-21,3
Limerick,2020-03-21,18
Longford,2020-03-21,3
Louth,2020-03-21,13
Mayo,2020-03-21,6
Meath,2020-03-21,13
Monaghan,2020-03-21,3
Offaly,2020-03-21,10
Roscommon,2020-03-21,3
Sligo,2020-03-21,8
Tipperary,2020-03-21,20
Waterford,2020-03-21,9
Westmeath,2020-03-21,20
Wexford,2020-03-21,3
Wicklow,2020-03-21,22
Carlow,2020-03-22,3
Cavan,2020-03-22,5
Clare,2020-03-22,11
Cork,2020-03-22,123
Donegal,2020-03-22,11
Dublin,2020-03-22,535
Galway,2020-03-22,35
Kerry,2020-03-22,15
Kildare,2020-03-22,25
Kilkenny,2020-03-22,16
Laois,2020-03-22,8
Leitrim,2020-03-22,3
Limerick,2020-03-22,19
Longford,2020-03-22,3
Louth,2020-03-22,16
Mayo,2020-03-22,9
Meath,2020-03-22,16
Monaghan,2020-03-22,3
Offaly,2020-03-22,13
Roscommon,2020-03-22,3
Sligo,2020-03-22,8
Tipperary,2020-03-22,20
Waterford,2020-03-22,13
Westmeath,2020-03-22,21
Wexford,2020-03-22,7
Wicklow,2020-03-22,28
Carlow,2020-03-23,3
Cavan,2020-03-23,5
Clare,2020-03-23,12
Cork,2020-03-23,133
Donegal,2020-03-23,11
Dublin,2020-03-23,659
Galway,2020-03-23,40
Kerry,2020-03-23,33
Kildare,2020-03-23,34
Kilkenny,2020-03-23,16
Laois,2020-03-23,9
Leitrim,2020-03-23,3
Limerick,2020-03-23,19
Longford,2020-03-23,4
Louth,2020-03-23,18
Mayo,2020-03-23,9
Meath,2020-03-23,24
Monaghan,2020-03-23,3
Offaly,2020-03-23,13
Roscommon,2020-03-23,3
Sligo,2020-03-23,8
Tipperary,2020-03-23,20
Waterford,2020-03-23,15
Westmeath,2020-03-23,25
Wexford,2020-03-23,7
Wicklow,2020-03-23,39
Carlow,2020-03-24,3
Cavan,2020-03-24,6
Clare,2020-03-24,25
Cork,2020-03-24,154
Donegal,2020-03-24,12
Dublin,2020-03-24,774
Galway,2020-03-24,45
Kerry,2020-03-24,38
Kildare,2020-03-24,39
Kilkenny,2020-03-24,19
Laois,2020-03-24,9
Leitrim,2020-03-24,3
Limerick,2020-03-24,24
Longford,2020-03-24,3
Louth,2020-03-24,20
Mayo,2020-03-24,14
Meath,2020-03-24,27
Monaghan,2020-03-24,3
Offaly,2020-03-24,16
Roscommon,2020-03-24,5
Sligo,2020-03-24,8
Tipperary,2020-03-24,27
Waterford,2020-03-24,22
Westmeath,2020-03-24,29
Wexford,2020-03-24,8
Wicklow,2020-03-24,49
Carlow,2020-03-25,3
Cavan,2020-03-25,9
Clare,2020-03-25,26
Cork,2020-03-25,171
Donegal,2020-03-25,15
Dublin,2020-03-25,922
Galway,2020-03-25,57
Kerry,2020-03-25,44
Kildare,2020-03-25,45
Kilkenny,2020-03-25,20
Laois,2020-03-25,10
Leitrim,2020-03-25,3
Limerick,2020-03-25,36
Longford,2020-03-25,5
Louth,2020-03-25,24
Mayo,2020-03-25,18
Meath,2020-03-25,33
Monaghan,2020-03-25,5
Offaly,2020-03-25,19
Roscommon,2020-03-25,7
Sligo,2020-03-25,8
Tipperary,2020-03-25,34
Waterford,2020-03-25,25
Westmeath,2020-03-25,39
Wexford,2020-03-25,9
Wicklow,2020-03-25,52
Carlow,2020-03-26,3
Cavan,2020-03-26,11
Clare,2020-03-26,31
Cork,2020-03-26,184
Donegal,2020-03-26,15
Dublin,2020-03-26,1070
Galway,2020-03-26,63
Kerry,2020-03-26,47
Kildare,2020-03-26,56
Kilkenny,2020-03-26,29
Laois,2020-03-26,11
Leitrim,2020-03-26,3
Limerick,2020-03-26,46
Longford,2020-03-26,5
Louth,2020-03-26,27
Mayo,2020-03-26,21
Meath,2020-03-26,41
Monaghan,2020-03-26,8
Offaly,2020-03-26,22
Roscommon,2020-03-26,8
Sligo,2020-03-26,10
Tipperary,2020-03-26,44
Waterford,2020-03-26,29
Westmeath,2020-03-26,52
Wexford,2020-03-26,10
Wicklow,2020-03-26,58
Carlow,2020-03-27,3
Cavan,2020-03-27,19
Clare,2020-03-27,34
Cork,2020-03-27,208
Donegal,2020-03-27,24
Dublin,2020-03-27,1233
Galway,2020-03-27,68
Kerry,2020-03-27,53
Kildare,2020-03-27,61
Kilkenny,2020-03-27,33
Laois,2020-03-27,14
Leitrim,2020-03-27,3
Limerick,2020-03-27,55
Longford,2020-03-27,10
Louth,2020-03-27,34
Mayo,2020-03-27,26
Meath,2020-03-27,46
Monaghan,2020-03-27,11
Offaly,2020-03-27,29
Roscommon,2020-03-27,10
Sligo,2020-03-27,12
Tipperary,2020-03-27,53
Waterford,2020-03-27,31
Westmeath,2020-03-27,67
Wexford,2020-03-27,12
Wicklow,2020-03-27,65
Carlow,2020-03-28,3
Cavan,2020-03-28,24
Clare,2020-03-28,34
Cork,2020-03-28,217
Donegal,2020-03-28,36
Dublin,2020-03-28,1393
Galway,2020-03-28,77
Kerry,2020-03-28,60
Kildare,2020-03-28,64
Kilkenny,2020-03-28,36
Laois,2020-03-28,14
Leitrim,2020-03-28,6
Limerick,2020-03-28,64
Longford,2020-03-28,10
Louth,2020-03-28,39
Mayo,2020-03-28,28
Meath,2020-03-28,47
Monaghan,2020-03-28,12
Offaly,2020-03-28,34
Roscommon,2020-03-28,10
Sligo,2020-03-28,19
Tipperary,2020-03-28,62
Waterford,2020-03-28,34
Westmeath,2020-03-28,70
Wexford,2020-03-28,12
Wicklow,2020-03-28,69
Carlow,2020-03-29,3
Cavan,2020-03-29,31
Clare,2020-03-29,40
Cork,2020-03-29,238
Donegal,2020-03-29,46
Dublin,2020-03-29,1487
Galway,2020-03-29,86
Kerry,2020-03-29,66
Kildare,2020-03-29,66
Kilkenny,2020-03-29,36
Laois,2020-03-29,15
Leitrim,2020-03-29,6
Limerick,2020-03-29,67
Longford,2020-03-29,10
Louth,2020-03-29,44
Mayo,2020-03-29,36
Meath,2020-03-29,54
Monaghan,2020-03-29,13
Offaly,2020-03-29,34
Roscommon,2020-03-29,10
Sligo,2020-03-29,19
Tipperary,2020-03-29,71
Waterford,2020-03-29,33
Westmeath,2020-03-29,77
Wexford,2020-03-29,15
Wicklow,2020-03-29,73
Carlow,2020-03-30,3
Cavan,2020-03-30,36
Clare,2020-03-30,45
Cork,2020-03-30,255
Donegal,2020-03-30,63
Dublin,2020-03-30,1645
Galway,2020-03-30,88
Kerry,2020-03-30,68
Kildare,2020-03-30,80
Kilkenny,2020-03-30,37
Laois,2020-03-30,16
Leitrim,2020-03-30,10
Limerick,2020-03-30,87
Longford,2020-03-30,12
Louth,2020-03-30,51
Mayo,2020-03-30,48
Meath,2020-03-30,66
Monaghan,2020-03-30,13
Offaly,2020-03-30,40
Roscommon,2020-03-30,10
Sligo,2020-03-30,22
Tipperary,2020-03-30,85
Waterford,2020-03-30,37
Westmeath,2020-03-30,80
Wexford,2020-03-30,15
Wicklow,2020-03-30,77
Carlow,2020-03-31,3
Cavan,2020-03-31,39
Clare,2020-03-31,49
Cork,2020-03-31,272
Donegal,2020-03-31,68
Dublin,2020-03-31,1838
Galway,2020-03-31,91
Kerry,2020-03-31,72
Kildare,2020-03-31,90
Kilkenny,2020-03-31,37
Laois,2020-03-31,16
Leitrim,2020-03-31,12
Limerick,2020-03-31,94
Longford,2020-03-31,14
Louth,2020-03-31,52
Mayo,2020-03-31,52
Meath,2020-03-31,74
Monaghan,2020-03-31,17
Offaly,2020-03-31,46
Roscommon,2020-03-31,10
Sligo,2020-03-31,25
Tipperary,2020-03-31,91
Waterford,2020-03-31,38
Westmeath,2020-03-31,81
Wexford,2020-03-31,16
Wicklow,2020-03-31,84
Carlow,2020-04-01,3
Cavan,2020-04-01,41
Clare,2020-04-01,50
Cork,2020-04-01,292
Donegal,2020-04-01,77
Dublin,2020-04-01,2077
Galway,2020-04-01,98
Kerry,2020-04-01,79
Kildare,2020-04-01,103
Kilkenny,2020-04-01,47
Laois,2020-04-01,16
Leitrim,2020-04-01,12
Limerick,2020-04-01,96
Longford,2020-04-01,16
Louth,2020-04-01,54
Mayo,2020-04-01,55
Meath,2020-04-01,88
Monaghan,2020-04-01,18
Offaly,2020-04-01,47
Roscommon,2020-04-01,13
Sligo,2020-04-01,26
Tipperary,2020-04-01,94
Waterford,2020-04-01,43
Westmeath,2020-04-01,86
Wexford,2020-04-01,18
Wicklow,2020-04-01,105
Carlow,2020-04-02,6
Cavan,2020-04-02,67
Clare,2020-04-02,54
Cork,2020-04-02,304
Donegal,2020-04-02,80
Dublin,2020-04-02,2251
Galway,2020-04-02,105
Kerry,2020-04-02,84
Kildare,2020-04-02,136
Kilkenny,2020-04-02,54
Laois,2020-04-02,21
Leitrim,2020-04-02,13
Limerick,2020-04-02,116
Longford,2020-04-02,17
Louth,2020-04-02,55
Mayo,2020-04-02,63
Meath,2020-04-02,93
Monaghan,2020-04-02,20
Offaly,2020-04-02,63
Roscommon,2020-04-02,13
Sligo,2020-04-02,27
Tipperary,2020-04-02,105
Waterford,2020-04-02,43
Westmeath,2020-04-02,92
Wexford,2020-04-02,20
Wicklow,2020-04-02,112
Carlow,2020-04-03,12
Cavan,2020-04-03,76
Clare,2020-04-03,54
Cork,2020-04-03,343
Donegal,2020-04-03,81
Dublin,2020-04-03,2490
Galway,2020-04-03,108
Kerry,2020-04-03,85
Kildare,2020-04-03,152
Kilkenny,2020-04-03,73
